code,value,name
RDDISTCD,1,100 ft or less
RDDISTCD,2,101 ft to 300 ft
RDDISTCD,3,301 ft to 500 ft
RDDISTCD,4,501 ft to 1000 ft
RDDISTCD,5,1001 ft to 1/2 mile
RDDISTCD,6,1/2 to 1 mile
RDDISTCD,7,1 to 3 miles
RDDISTCD,8,3 to 5 miles
RDDISTCD,9,Greater than 5 miles
RESERVCD,0,Not reserved
RESERVCD,1,Reserved
OWNCD,11,National Forest
OWNCD,12,National Grassland and/or Prairie
OWNCD,13,Other Forest Service land
OWNCD,21,National Park Service
OWNCD,22,Bureau of Land Management
OWNCD,23,Fish and Wildlife Service
OWNCD,24,Departments of Defense/Energy
OWNCD,25,Other Federal
OWNCD,31,State including State public universities
OWNCD,32,"Local (County, Municipality, etc.) including water authorities"
OWNCD,33,Other non-Federal public
OWNCD,46,Undifferentiated private and Native American
OWNCD,41,"Corporate, including Native Corporations in Alaska and private universities"
OWNCD,42,Non-governmental conservation/natural resources organization
OWNCD,43,Unincorporated local partnership/association/club
OWNCD,44,Native American
OWNCD,45,"Individual and family, including trusts, estates, and family partnerships"
OWNGRPCD,10,Forest Service
OWNGRPCD,20,Other Federal
OWNGRPCD,30,State and local government
OWNGRPCD,40,Private
STDSZCD,1,Large diameter
STDSZCD,2,Medium diameter
STDSZCD,3,Small diameter
STDSZCD,5,Nonstocked
SITECLCD,1,225+ cubic feet/acre/year
SITECLCD,2,165-224 cubic feet/acre/year
SITECLCD,3,120-164 cubic feet/acre/year
SITECLCD,4,85-119 cubic feet/acre/year
SITECLCD,5,50-84 cubic feet/acre/year
SITECLCD,6,20-49 cubic feet/acre/year
SITECLCD,7,0-19 cubic feet/acre/year
STDORGCD,0,Natural stands
STDORGCD,1,Clear evidence of artificial regeneration
PHYSCLCD,11,Xeric – Dry Tops
PHYSCLCD,12,Xeric – Dry Slopes
PHYSCLCD,13,Xeric – Deep Sands
PHYSCLCD,19,Xeric – Other Xeric
PHYSCLCD,21,Mesic – Flatwoods
PHYSCLCD,22,Mesic – Rolling Uplands
PHYSCLCD,23,Mesic – Moist Slopes and Coves
PHYSCLCD,24,Mesic – Narrow flood plains/Bottomlands
PHYSCLCD,25,Mesic – Broad Floodplains/Bottomlands
PHYSCLCD,29,Mesic – Other Mesic
PHYSCLCD,31,Hydric – Swamps/Bogs
PHYSCLCD,32,Hydric – Small Drains
PHYSCLCD,33,Hydric – Bays and wet pocosins
PHYSCLCD,34,Hydric – Beaver ponds
PHYSCLCD,35,Hydric – Cypress ponds
PHYSCLCD,39,Hydric – Other hydric
GSSTKCD,1,Overstocked (100+%)
GSSTKCD,2,Fully stocked (60 - 99%)
GSSTKCD,3,Medium stocked (35 - 59%)
GSSTKCD,4,Poorly stocked (10 - 34%)
GSSTKCD,5,Nonstocked (0 - 9%)
ALSTKCD,1,Overstocked (100+%)
ALSTKCD,2,Fully stocked (60 - 99%)
ALSTKCD,3,Medium stocked (35 - 59%)
ALSTKCD,4,Poorly stocked (10 - 34%)
ALSTKCD,5,Nonstocked (0 - 9%)
DSTRBCD1,0,No visible disturbance
DSTRBCD1,10,Insect damage
DSTRBCD1,11,Insect damage
DSTRBCD1,12,Insect damage
DSTRBCD1,20,Disease damage
DSTRBCD1,21,Disease damage
DSTRBCD1,22,Disease damage
DSTRBCD1,30,Fire damage
DSTRBCD1,31,Fire damage
DSTRBCD1,32,Fire damage
DSTRBCD1,40,Animal damage
DSTRBCD1,41,Animal damage
DSTRBCD1,42,Animal damage
DSTRBCD1,43,Animal damage
DSTRBCD1,44,Animal damage
DSTRBCD1,45,Animal damage
DSTRBCD1,46,Animal damage
DSTRBCD1,50,Weather damage
DSTRBCD1,51,Weather damage
DSTRBCD1,52,Weather damage
DSTRBCD1,53,Weather damage
DSTRBCD1,54,Weather damage
DSTRBCD1,60,"Vegetation (suppression, competition, vines)"
DSTRBCD1,70,Unknown / not sure / other
DSTRBCD1,80,Human-induced damage
DSTRBCD1,90,Geologic disturbances
DSTRBCD1,91,Geologic disturbances
DSTRBCD1,92,Geologic disturbances
DSTRBCD1,93,Geologic disturbances
DSTRBCD1,94,Geologic disturbances
DSTRBCD1,95,Geologic disturbances
TRTCD1,0,No observable treatment
TRTCD1,10,Cutting
TRTCD1,20,Site preparation
TRTCD1,30,Artificial regeneration
TRTCD1,40,Natural regeneration
TRTCD1,50,Other silvicultural treatment
STATUSCD,0,No status
STATUSCD,1,Live tree
STATUSCD,2,Dead tree
STATUSCD,3,Removed
CCLCD,1,Open grown
CCLCD,2,Dominant
CCLCD,3,Codominant
CCLCD,4,Intermediate
